site,species,n_images
G02,baboon,53
G02,impala,25
G02,waterbuck,20
G02,bushbuck,13
G02,warthog,2
G02,antelope,1
G04,impala,127
G04,waterbuck,96
G04,baboon,22
G04,vervet_monkey,10
G04,bird_other,3
G04,kudu,3
G04,bushbaby,2
G04,warthog,2
G04,antelope,1
G04,elephant,1
G04,genet,1
G06,baboon,440
G06,waterbuck,302
G06,warthog,263
G06,impala,145
G06,nyala,116
G06,bushpig,36
G06,bushbuck,26
G06,civet,12
G06,bird_other,10
G06,genet,7
G06,kudu,7
G06,vervet_monkey,7
G06,elephant,4
G06,porcupine,3
G06,sable_antelope,3
G06,wilddog,3
G06,mongoose_marsh,2
G06,serval,2
G06,aardvark,1
G06,buffalo,1
G06,ground_hornbill,1
G06,mongoose_banded,1
G06,mongoose_white_tailed,1
G06,oribi,1
G06,pangolin,1
G06,reedbuck,1
G08,waterbuck,733
G08,baboon,480
G08,impala,364
G08,nyala,332
G08,bushbuck,110
G08,warthog,106
G08,genet,73
G08,buffalo,43
G08,bird_other,39
G08,civet,33
G08,bushpig,30
G08,elephant,28
G08,mongoose_marsh,16
G08,kudu,15
G08,honey_badger,7
G08,wildebeest,6
G08,porcupine,5
G08,reptile,4
G08,antelope,3
G08,vervet_monkey,3
G08,wilddog,3
G08,birdraptor,2
G08,bushbaby,2
G08,mongoose_slender,2
G08,mongoose_white_tailed,2
G08,oribi,2
G08,pangolin,2
G08,aardvark,1
G08,ground_hornbill,1
G12,baboon,882
G12,warthog,110
G12,nyala,96
G12,waterbuck,66
G12,elephant,40
G12,bushbuck,26
G12,bird_other,19
G12,genet,19
G12,mongoose_marsh,15
G12,kudu,13
G12,bushpig,12
G12,duiker_red,8
G12,civet,7
G12,hartebeest,7
G12,oribi,4
G12,porcupine,4
G12,honey_badger,3
G12,impala,3
G12,sable_antelope,3
G12,ground_hornbill,2
G12,antelope,1
G12,mongoose_slender,1
G12,samango_monkey,1
H05,waterbuck,1752
H05,impala,1338
H05,baboon,359
H05,warthog,74
H05,elephant,44
H05,bushbuck,12
H05,kudu,12
H05,nyala,10
H05,vervet_monkey,9
H05,bird_other,8
H05,oribi,7
H05,buffalo,6
H05,bushpig,5
H05,ground_hornbill,4
H05,hippopotamus,3
H05,antelope,2
H05,wilddog,2
H05,wildebeest,2
H05,civet,1
H05,duiker_common,1
H05,genet,1
H05,reedbuck,1
I04,waterbuck,300
I04,bushbuck,112
I04,impala,80
I04,warthog,37
I04,elephant,28
I04,baboon,17
I04,bushpig,7
I04,bird_other,6
I04,oribi,4
I04,civet,3
I04,antelope,1
I04,lion,1
I06,waterbuck,1390
I06,impala,657
I06,warthog,557
I06,baboon,389
I06,oribi,68
I06,kudu,51
I06,bird_other,41
I06,bushbuck,31
I06,elephant,21
I06,buffalo,14
I06,vervet_monkey,9
I06,ground_hornbill,8
I06,nyala,7
I06,wildebeest,3
I06,bushpig,2
I06,honey_badger,2
I06,mongoose_white_tailed,2
I06,crane,1
I06,hare,1
I06,mongoose_marsh,1
I06,porcupine,1
I06,wilddog,1
I08,waterbuck,870
I08,warthog,369
I08,baboon,175
I08,bushbuck,158
I08,impala,99
I08,nyala,79
I08,bird_other,35
I08,elephant,29
I08,kudu,18
I08,civet,13
I08,vervet_monkey,6
I08,bushpig,5
I08,ground_hornbill,4
I08,oribi,4
I08,mongoose_banded,3
I08,antelope,2
I08,bushbaby,2
I08,genet,2
I08,birdraptor,1
I08,duiker_common,1
I08,duiker_red,1
I08,mongoose_marsh,1
I08,reedbuck,1
I10,baboon,157
I10,warthog,133
I10,waterbuck,129
I10,nyala,106
I10,bird_other,32
I10,kudu,26
I10,sable_antelope,26
I10,impala,16
I10,bushbuck,14
I10,oribi,9
I10,civet,6
I10,genet,6
I10,buffalo,5
I10,antelope,4
I10,mongoose_marsh,3
I10,bushpig,1
I10,elephant,1
I10,porcupine,1
I10,reedbuck,1
I10,vervet_monkey,1
I12,impala,468
I12,waterbuck,386
I12,warthog,277
I12,baboon,253
I12,bushbuck,95
I12,sable_antelope,37
I12,buffalo,24
I12,oribi,23
I12,nyala,16
I12,kudu,11
I12,elephant,10
I12,bird_other,6
I12,lion,3
I12,bushpig,2
I12,civet,2
I12,reedbuck,2
I12,antelope,1
I12,duiker,1
I12,genet,1
I12,ground_hornbill,1
I12,hippopotamus,1
I12,honey_badger,1
J03,waterbuck,504
J03,baboon,14
J03,bushbuck,5
J03,elephant,5
J03,genet,5
J03,impala,3
J03,mongoose_large_grey,1
J05,waterbuck,112
J05,baboon,66
J05,warthog,39
J05,bushbuck,23
J05,impala,21
J05,elephant,14
J05,oribi,3
J05,bushpig,2
J05,genet,2
J05,bird_other,1
J05,mongoose_large_grey,1
J05,porcupine,1
J07,waterbuck,111
J07,warthog,71
J07,baboon,53
J07,elephant,30
J07,bushbuck,16
J07,nyala,2
J07,impala,1
J07,oribi,1
J11,warthog,414
J11,waterbuck,342
J11,bushbuck,144
J11,baboon,116
J11,nyala,74
J11,kudu,23
J11,porcupine,17
J11,bushpig,7
J11,antelope,4
J11,elephant,4
J11,genet,4
J11,bird_other,2
J11,buffalo,2
J11,impala,2
J11,lion,2
J11,honey_badger,1
J11,mongoose_bushy_tailed,1
J11,pangolin,1
J13,waterbuck,737
J13,impala,696
J13,baboon,274
J13,warthog,220
J13,genet,95
J13,bird_other,65
J13,bushbuck,28
J13,oribi,28
J13,elephant,21
J13,civet,17
J13,mongoose_marsh,17
J13,buffalo,12
J13,nyala,10
J13,mongoose_white_tailed,6
J13,sable_antelope,5
J13,mongoose_slender,4
J13,kudu,3
J13,mongoose_large_grey,3
J13,bushpig,2
J13,antelope,1
J13,hartebeest,1
J13,pangolin,1
J13,reptile,1
K06,waterbuck,574
K06,baboon,361
K06,warthog,300
K06,bushbuck,165
K06,nyala,162
K06,elephant,41
K06,impala,34
K06,genet,27
K06,bird_other,17
K06,porcupine,12
K06,vervet_monkey,11
K06,bushpig,8
K06,civet,6
K06,kudu,6
K06,bushbaby,2
K06,mongoose_marsh,2
K06,aardvark,1
K06,antelope,1
K06,ground_hornbill,1
K06,honey_badger,1
K06,mongoose_large_grey,1
K06,oribi,1
K06,reptile,1
K08,bushbuck,248
K08,waterbuck,248
K08,baboon,105
K08,warthog,87
K08,elephant,34
K08,nyala,20
K08,oribi,10
K08,impala,6
K08,bushpig,4
K08,kudu,2
K08,ground_hornbill,1
K12,warthog,292
K12,waterbuck,207
K12,baboon,155
K12,nyala,86
K12,bushbuck,81
K12,aardvark,8
K12,genet,6
K12,elephant,3
K12,sable_antelope,3
K12,bushpig,2
K12,duiker_red,2
K12,impala,2
K12,kudu,2
K12,mongoose_marsh,2
K12,oribi,2
K12,bird_other,1
K12,ground_hornbill,1
K12,lion,1
L05,waterbuck,1809
L05,baboon,290
L05,warthog,91
L05,bushbuck,79
L05,elephant,68
L05,bird_other,49
L05,genet,42
L05,impala,22
L05,oribi,14
L05,civet,12
L05,buffalo,7
L05,porcupine,4
L05,mongoose_marsh,3
L05,antelope,2
L05,eland,2
L05,birdraptor,1
L05,lion,1
L05,wildebeest,1
L11,nyala,83
L11,bushbuck,55
L11,warthog,39
L11,waterbuck,33
L11,baboon,29
L11,elephant,5
L11,bushpig,1
L11,eland,1
L11,impala,1
L11,kudu,1
L11,oribi,1
M08,waterbuck,3670
M08,baboon,1165
M08,bushbuck,747
M08,warthog,418
M08,kudu,205
M08,vervet_monkey,162
M08,bird_other,152
M08,elephant,108
M08,genet,75
M08,porcupine,31
M08,civet,22
M08,eland,19
M08,bushpig,14
M08,mongoose_slender,12
M08,reptile,8
M08,nyala,7
M08,lion,6
M08,hare,4
M08,mongoose_large_grey,4
M08,mongoose_marsh,4
M08,antelope,3
M08,bushbaby,3
M08,duiker_red,3
M08,mongoose_banded,3
M08,aardvark,2
M08,buffalo,2
M08,ground_hornbill,1
M08,honey_badger,1
M08,impala,1
M08,mongoose_bushy_tailed,1
M08,reedbuck,1
M10,waterbuck,483
M10,warthog,337
M10,baboon,276
M10,bushbuck,114
M10,impala,81
M10,oribi,35
M10,bird_other,26
M10,porcupine,25
M10,elephant,23
M10,hare,21
M10,vervet_monkey,17
M10,reedbuck,14
M10,bushpig,10
M10,genet,10
M10,kudu,6
M10,lion,4
M10,civet,3
M10,mongoose_marsh,3
M10,bushbaby,2
M10,honey_badger,2
M10,nyala,2
M10,buffalo,1
